Episode,RewardAdapt
0,370335247.89324963
1,386153733.4664087
2,383680253.58518606
3,388095574.1450636
4,390153325.0606777
5,385726499.4764355
6,388736564.5343997
7,386625261.9898331
8,394676135.3397113
9,390775615.14350593
10,389993161.3348229
11,392838243.3413636
12,386952076.1713698
13,386017395.07782054
14,394503548.3030025
15,391202500.63772833
16,393894542.20542926
17,385194581.51926196
18,390862073.0017932
19,385099356.73888093
20,381637230.6293935
21,390470518.0596763
22,391195677.0516885
23,398182656.6090682
24,396999922.71198374
25,396817964.67805284
26,393538643.86382186
27,391061892.30037975
28,389437377.1635816
29,401865173.70903176
30,399059701.49352616
31,400634776.14832526
32,398659466.387519
33,401854686.88840395
34,394344515.65498585
35,399908542.8511602
36,402818541.4939135
37,399874592.6666998
38,391687391.3402282
39,395322329.51510566
40,398011751.66046304
41,396448251.1643416
42,402684532.6145837
43,406351716.5428763
44,400766265.1941615
45,399857918.3573454
46,400579595.7316621
47,398596681.92427117
48,399784875.3845369
49,404608487.37582076
50,398737870.8737718
51,402224086.3914407
52,405044652.5911067
53,400988270.0512844
54,400047064.00445735
55,404242349.39782405
56,399379293.04258245
57,404093551.2734347
58,388310078.6593497
59,400467679.09938884
60,401869156.7582273
61,394383239.68420476
62,393664467.2911162
63,398460854.1464462
64,401520926.66473246
65,396552452.5224497
66,398269621.8823607
67,390157575.4483264
68,396920633.66489464
69,397563635.46661127
70,395053281.2496016
71,396944765.51634836
72,391380692.96850365
73,392477069.3954681
74,394985870.872645
75,398965717.9746848
76,394558024.12376046
77,397426613.7330364
78,395102240.2910855
79,401361360.8330173
80,393258838.05672425
81,388934589.2589755
82,392381410.673359
83,394038837.0308919
84,395932218.1608412
85,392537296.3072644
86,394059542.3721263
87,388050096.224027
88,387207404.736879
89,397033613.53064454
90,396314583.6531717
91,390285651.6931643
92,380279179.00530064
93,394093289.9127689
94,391522162.80012727
95,395208737.9845891
96,384906314.90579826
97,389021052.33310837
98,396103108.5049396
99,391119608.5834422
100,390917935.1745411
101,403563032.79088765
102,382636577.91045636
103,389595430.30189866
104,396745573.5372657
105,390796001.7759985
106,401201854.29896885
107,404117954.08916306
108,397848578.09700245
109,401478995.2362694
110,399134119.89648956
111,389216613.0013095
112,399445490.66811866
113,385081834.4288474
114,395348830.95630044
115,393944503.3856854
116,396089382.43798006
117,389438028.87660825
118,394639058.5441354
119,385301767.6806672
120,392255205.85975
121,388734894.92504644
122,396060452.8290218
123,396142441.68087274
124,390734136.5289506
125,389058204.13698745
126,395271973.9749489
127,408389131.04155225
128,401360522.84535235
129,391686469.71176904
130,400347865.5120483
131,400348321.9397382
132,400456494.9433884
133,395576067.43537563
134,399387787.8254065
135,403020181.93022233
136,398343474.88799673
137,391064924.29563355
138,394065742.3433721
139,399777698.77165174
140,400188849.9599181
141,400521618.1513089
142,395440291.60910845
143,394770803.0249527
144,383013087.5556201
145,389030050.15239125
146,391196718.32563436
147,396209809.5973157
148,391466390.31169397
149,393626867.79912484
