Episode,retrain_DQN,Random,RRobin
1,259.82714989559054,258.6066010000421,259.3007902473268
2,283.24071351118624,261.92482333411186,263.1351959894927
3,294.6682415738265,262.40990603681445,262.6462238856321
4,309.3045599533277,266.0278487560284,262.9235576223254
5,321.9492547911009,261.0529574609814,263.2379064172538
6,336.56809217162066,265.7472634088808,264.32199700861463
7,349.0731028622479,260.9430769241348,264.8586308146887
8,353.91636149129226,265.97317175619094,265.5134227633533
9,367.16002514879415,269.6066622535191,267.40817185502857
10,371.4140123604116,264.8455239044251,263.2577339166348
