Episode,RandScores,RobinScores
0,373911233.1564896,357199353.2614975
1,372724394.28220105,335753444.23316085
2,367115933.3196317,338138270.75457436
3,370451528.8282469,344993096.3382885
4,362078714.01064044,335010479.11754173
5,367425000.0082026,330210376.53179723
6,360886161.9990141,344215392.7415717
7,364178923.6653215,337693349.88332915
8,358223535.51013345,341844916.8903307
9,353823929.7288317,339318055.383132
10,360161744.9921732,335975194.7135726
11,363781184.1929075,349168827.55748415
12,355135477.01752824,333355310.7575936
13,366846099.0760241,332089874.8532682
14,361597752.9088395,336478057.06047696
15,358757467.2583776,344611232.9452323
16,367397460.7000158,336859953.54142946
17,363661869.6853413,335924954.0363109
18,352781146.7407196,334266097.8597123
19,355256636.8499745,324391907.49298626
20,350428577.21128505,324277123.0502105
21,359197186.5980752,335361465.7792026
22,350079830.8583722,325533617.9882432
23,366278956.01815146,335689752.1663167
24,346597694.79240876,327950399.5643512
25,369894034.2760518,344274861.47483253
26,351554165.72797805,321808560.5128745
27,360364283.8665689,331825932.11784184
28,361906579.00082576,337799268.9636217
29,354997399.7696682,335048326.02675635
30,365127286.27236015,342530334.3955279
31,362017234.08728784,329518247.68958455
32,357244109.0419122,333038010.35778755
33,368485111.3548235,340677534.7163311
34,359220710.9158194,336315231.92413133
35,362722746.18041307,339429387.483983
36,366081684.36742675,344301709.20829415
37,356011014.89074975,343378008.57594335
38,341394852.97366375,320283241.1571555
39,358383007.03735656,337577229.0635008
40,357788753.4387886,336155270.67648876
41,363504617.88755,339784890.18836623
42,358365306.57506406,339803529.8731008
43,359774907.63593954,333745741.03663456
44,362741189.47526467,342199904.32919604
45,355708089.92772555,342604921.3893438
46,351860373.82207936,328827186.55512404
47,353305307.03642005,330139550.22735333
48,357553673.74288,332276166.80568516
49,368428102.06787854,336023217.00863665
50,343136477.37652516,333196712.27468115
51,351335391.554644,322114980.5228916
52,361102506.85153884,345267107.20726186
53,360255823.1066271,342362518.9969079
54,364060007.55016196,337891903.3844545
55,363691306.8948678,336544787.69219047
56,354382968.55278516,337405077.3415261
57,364722154.6841891,339276066.95832837
58,343202069.9780814,330103790.16934836
59,352792810.703297,315504091.80907637
60,364772176.4987638,344206331.5370799
61,361595433.40963405,334736786.70047474
62,355686852.3989946,318002778.1982607
63,359603388.2014599,339245686.25604355
64,365626731.20723253,343304547.42426777
65,363424782.65665746,338668579.0737353
66,347414511.80612224,317890969.13575786
67,356930941.2756218,343056232.29294896
68,359523682.3549339,334009979.33713967
69,354431083.0145149,330779787.09932166
70,360362568.26990575,333676642.81405926
71,355844208.69583267,334473712.1166786
72,361293773.53557324,333400487.1628492
73,360890136.6347257,331254791.6391891
74,356600189.98117447,333885021.4898276
75,348744839.7241832,336779459.8319515
76,353714499.57383776,326759574.4008632
77,359952468.4653313,336587552.1797907
78,353011426.4721382,334556924.83006465
79,356280783.782631,341582190.0297165
80,354645506.02801585,324371313.84850335
81,349199592.86252165,325189694.30545723
82,352280918.8042016,338460514.05197674
83,361274742.5810731,325475784.5207996
84,355581600.95387286,343324975.27262855
85,359650749.5369387,331056387.3763123
86,359585971.5259851,338173962.84366345
87,361932368.0613667,340136310.44249684
88,352957456.758442,331698284.356279
89,349272028.2795002,320133315.82832175
90,364541098.3740529,343434576.8819066
91,354918202.52296764,318929330.5085321
92,348388542.71001977,326533304.8142094
93,359821908.7643444,330531076.8200155
94,362068980.69503784,346479263.1356558
95,362026622.2112568,337862659.289132
96,348721671.06487584,324771913.55405366
97,355695628.4068024,329966336.118103
98,361370709.0274052,330163151.06876326
99,358139493.12481904,333482417.82506603
100,364366904.1308073,332257472.67622226
101,364327396.18309885,332027769.8365865
102,358967731.84071076,333604012.6726935
103,351952072.1809137,332913375.2258344
104,354791836.17342156,325566266.0295566
105,354027870.7600143,333478126.10665023
106,344443851.97584105,323698162.41487634
107,365414376.15568084,333941575.55339247
108,362301795.343401,337445509.67375803
109,355805012.3257761,338564244.6164528
110,358344320.80666256,338798164.9635605
111,361782928.87316436,344319847.7851857
112,355698556.96036154,330760845.30053616
113,353670185.49065214,329247634.1673606
114,345860446.23719656,329051072.57917655
115,356332940.9154438,329502705.871615
116,351425481.77766377,333416999.0571281
117,347656363.5047921,325006998.67740214
118,362171417.5508211,333897845.6204635
119,353220199.2589845,338896111.792347
120,360865748.0782109,330687132.62841976
121,355685689.0933005,332680526.49434626
122,354448968.21222556,322644523.76278317
123,362164468.68642986,331386685.69490784
124,361669951.36138576,331963324.91445047
125,355332103.24202216,324525149.0445692
126,361068632.5486463,333712568.6943532
127,352085214.4316819,324798688.0541605
128,362315549.5012572,342256865.9729622
129,352547297.539599,323346860.9942139
130,360024797.1723718,340861336.4667184
131,357870325.53847885,336961429.1378505
132,358455644.7461753,336319468.5680199
133,351513555.48588276,330281459.63987935
134,356548179.15108323,329788509.60882616
135,360022297.20255524,340812852.49739534
136,361613453.3201661,347810999.256512
137,357211260.9111563,335237746.74066687
138,353143053.80960417,324936798.17014366
139,353632100.3544571,334792912.0557206
140,356519118.5095386,320368844.8647551
141,356751280.45582485,325787579.8537929
142,362643368.8466665,333430914.95547235
143,358830723.56358945,325168772.01948434
144,353611631.7156412,333375734.8355367
145,352219164.6698519,336632071.6969683
146,355347397.9867629,332675005.22244275
147,355795062.2444076,336493912.52766347
148,353131130.0564508,330884158.2430501
149,354040791.7759845,326889371.9997766
